Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
1993,Dragon Ball Z Side Story: Plan to Eradicate the Saiyans,Shigeyasu Yamauchi,"Action, Adventure, Animation",2.69,5.0609
1993,Samurai Kids,Nobuhiko Obayashi,"Adventure, Fantasy",3.54,4.1672
1993,Dragon Ball Z: The History of Trunks,Yoshihiro Ueda,"Animation, Action, Science Fiction",3.85,3.5247
1994,Dragon Ball Z: Bio-Broly,Yoshihiro Ueda,"Animation, Action, Science Fiction",2.05,4.6273
1994,Dragon Ball Z: Broly - Second Coming,Shigeyasu Yamauchi,"Animation, Action, Science Fiction",None,4.0882
1994,Ninja Sentai Kakuranger: The Movie,Shohei Tôjô,"Action, Adventure, Fantasy, Horror",None,3.8365
1994,Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,Masaru Tsushima,Action,None,3.6067
1994,Pom Poko,Isao Takahata,"Adventure, Animation, Fantasy",3.71,3.4206
1995,Whisper of the Heart,Yoshifumi Kondo,"Animation, Drama, Family",4.18,4.0131
1995,Dragon Ball Z: Fusion Reborn,Shigeyasu Yamauchi,"Animation, Action, Science Fiction",3.69,4.5655
1995,Dragon Ball Z: Wrath of the Dragon,Mitsuo Hashimoto,"Animation, Action, Science Fiction",3.45,5.3335
1995,Gonin,Takashi Ishii,"Action, Crime, Thriller, Drama",3.73,6.3179
1995,Ghost in the Shell,Mamoru Oshii,"Action, Animation, Science Fiction",4.1,9.3028
1996,M.D. Geist II: Death Force,Koichi Ohata,"Science Fiction, Animation, Action",3.0,4.422
1996,Tenchi Muyo! In Love,Hiroshi Negishi,"Animation, Comedy",3.47,4.0214
1996,The Trap,Kaizo Hayashi,"Drama, Thriller, Mystery, Crime",None,3.9476
1996,That's Cunning! Shijo Saidai no Sakusen?,Hiroshi Sugawara,Comedy,None,3.7288
1996,Armitage III: Poly Matrix,Takuya Sato,"Animation, Science Fiction, Thriller",3.31,3.4769
1997,Baby Love,Susumu Kudo,"Animation, Romance",3.16,4.0642
1997,The King of Minami: Waiting Woman,Sadaaki Haginiwa,,None,4.4776
1997,Kôzuki Yaya: CLONEz,Natsuki Hariu,"Science Fiction, Horror",None,3.9881
1997,Princess Mononoke,Hayao Miyazaki,"Adventure, Fantasy, Animation",4.39,10.8275
1997,Neon Genesis Evangelion: The End of Evangelion,Kazuya Tsurumaki,"Animation, Science Fiction, Drama, Fantasy",4.47,6.3979
1998,Perfect Blue,Satoshi Kon,"Animation, Thriller",4.38,6.866
1998,Pokémon: The First Movie,Kunihiko Yuyama,"Animation, Family, Adventure, Fantasy, Action",None,5.73
1998,D,Junya Okabe,"Science Fiction, Action",3.3,5.6843
1998,Murder on D Street,Akio Jissoji,"Thriller, Mystery, Horror",3.54,5.4275
1998,Hunter × Hunter Pilot,Noriyuki Abe,"Animation, Action, Adventure, Fantasy",4.33,4.9282
1999,Marco: Carry a Dream,Kōzō Kusuba,Animation,None,5.1185
1999,New Third Gangster X,Shigeru Ishihara,"Drama, Crime",None,4.7971
1999,Pokémon the Movie 2000,Kunihiko Yuyama,"Adventure, Fantasy, Animation, Science Fiction, Family",None,4.1558
1999,Sailor Moon SuperS Memorial,Junichi Sato,"Animation, Romance",None,4.1459
1999,GTO: Great Teacher Onizuka,Masayuki Suzuki,"Comedy, Drama",3.38,3.6937
2000,Kamome,Genji Nakamura,Drama,None,4.183
2000,Battle Royale,Kinji Fukasaku,"Drama, Thriller, Action",3.86,4.3663
2000,Isola: Multiple Personality Girl,Toshiyuki Mizutani,"Horror, Drama, Science Fiction",2.92,4.3916
2000,Digimon Adventure 3D: Digimon Grand Prix!,Mamoru Hosoda,"Adventure, Animation",2.92,4.5162
2000,Godzilla vs. Megaguirus,Masaaki Tezuka,"Action, Science Fiction, Thriller, Horror",2.87,6.0175
2001,Spirited Away,Hayao Miyazaki,"Animation, Family, Fantasy",4.44,20.4629
2001,Pokémon: Mewtwo Returns,Masamitsu Hidaka,"Animation, Family, Action, Adventure, Drama, Fantasy",None,5.3975
2001,Saiyuki: Requiem,Hayato Date,"Action, Adventure, Animation",None,4.3649
